employer,employer_slug,first,last,affiliation,speciality,procedure,address,city,state,zip,phone,cll,cul,in_network,ap1,ap2,ap3,deductible1,deductible2,deductible3,deductibe_out,oopm_p1,oopm_p2,oopm_p3,oopm_out,rating,image,
Raytheon,raytheon,Bumper,Allen,Boston Medical Center,Orthopedics,ACL Reconstruction,725 Albany St. ,Boston,MA,2118,617-638-5633,34199,39878,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/22092.jpg,
Raytheon,raytheon,Bert,Andernie,Massachusetts General Hospital,Orthopedics,ACL Reconstruction,55 Fruit St ,Boston,MA,2114,617-726-2000,32195,42957,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/25132.jpg,
Raytheon,raytheon,Bert,Andernie,New England Baptist Hospital,Orthopedics,ACL Reconstruction,125 Parker Hill Ave,Boston,MA,2120,617-754-5000,27353,35816,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,4,http://massgen.photobooks.com/photos/209421.jpg,
Raytheon,raytheon,Sponge,Bob,Massachusetts General Hospital,Orthopedics,ACL Reconstruction,55 Fruit St ,Boston,MA,2114,617-726-2000,31990,42881,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/9791.jpg,
Raytheon,raytheon,Stanley,Goodspeed,Massachusetts General Hospital,Orthopedics,ACL Reconstruction,55 Fruit St ,Boston,MA,2114,617-726-2000,33115,38775,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/6421.jpg,
Raytheon,raytheon,Justin,Lumberpool,Massachusetts General Hospital,Orthopedics,ACL Reconstruction,55 Fruit St ,Boston,MA,2114,617-726-2000,36819,40116,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/234752.jpg,
Raytheon,raytheon,Katherine,Perry,Brigham and Women's Hospital,Orthopedics,ACL Reconstruction,75 Francis St,Boston,MA,2115,617-732-5500,37010,39553,N,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,4,http://massgen.photobooks.com/photos/10317.jpg,W
Raytheon,raytheon,Taylor,Quick,New England Baptist Hospital,Orthopedics,ACL Reconstruction,125 Parker Hill Ave,Boston,MA,2120,617-754-5000,25760,32990,N,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/200066.jpg,W
Raytheon,raytheon,Taylor,Quick,Brigham and Women's Hospital,Orthopedics,ACL Reconstruction,75 Francis St,Boston,MA,2115,617-732-5500,34085,39564,N,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/200066.jpg,W
Raytheon,raytheon,Harold,Potter,Boston Medical Center,Orthopedics,ACL Reconstruction,725 Albany St. ,Boston,MA,2118,617-638-5633,38561,44080,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,3.5,http://massgen.photobooks.com/photos/14173.jpg,
Raytheon,raytheon,,,New England Baptist Hospital,Radiology,Thoracic MRI without contrast,125 Parker Hill Ave,Boston,MA,2120,617-754-5000,614,845,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/22092.jpg,
Raytheon,raytheon,,,Brigham and Women's Hospital,Radiology,Thoracic MRI without contrast,75 Francis St,Boston,MA,2115,617-732-5500,1620,1878,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,4.5,http://massgen.photobooks.com/photos/25132.jpg,
Raytheon,raytheon,,,Massachusetts General Hospital,Radiology,Thoracic MRI without contrast,55 Fruit St ,Boston,MA,2114,617-726-2000,1324,1650,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,5,http://massgen.photobooks.com/photos/209421.jpg,
Raytheon,raytheon,,,Shields MRI Boston,Radiology,Thoracic MRI without contrast,161 Granite Ave,Boston,MA,2124,617-282-4141,923,1153,N,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,3.5,http://massgen.photobooks.com/photos/234752.jpg,
Raytheon,raytheon,,,Boston Medical Center,Radiology,Thoracic MRI without contrast,725 Albany St. ,Boston,MA,2118,617-638-5633,1290,1675,Y,HMO4CM,POS4CM,,0,500,,600,1500,2000,,3000,4,http://massgen.photobooks.com/photos/14173.jpg,
